%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 9, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -4.306322672639364, 
maxIter: 0, func_eval: 1871
Parameters Found: [ 1.33319948 -0.11994435 -0.145495   -0.06471677 -0.06806051  0.0680449
  0.0404489   0.02931307  0.2082993   0.92560979  0.05684612  0.10161714]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:249.08s

Optimal: selection 011101100010, value -7.50045649+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
141	100110101011	-7.50022416		0.00073358
142	100110101110	-7.50013391		0.00073358
143	001010101111	-7.49985707		0.00073358
144	110110101010	-7.50028605		0.00073358
145	001110111010	-7.50016494		0.00073358
146	111010111000	-7.50000058		0.00073358
147	100110111010	-7.50018527		0.00073358
148	101010111100	-7.49984426		0.00073358
149	100011101011	-7.50017100		0.00073358
150	101011001110	-7.50005916		0.00073358
151	111011001010	-7.50019883		0.00073358
152	100011101110	-7.50003553		0.00073358
153	001010111011	-7.49995472		0.00073358
154	101011001011	-7.50017190		0.00073358
155	110011101010	-7.50017370		0.00073358
156	001010111110	-7.49981981		0.00073358
157	100011111010	-7.50001327		0.00073358
158	101100111010	-7.50015761		0.00073358
159	111100101010	-7.50022858		0.00073358
160	101100101110	-7.50006945		0.00073358
161	101110001110	-7.50006276		0.00073358
162	111110001010	-7.50021640		0.00073358
163	101100101011	-7.50013709		0.00073358
164	101110001011	-7.50013028		0.00073358
165	100010101111	-7.49976368		0.00073358
166	110010101011	-7.49990145		0.00073358
167	111000111010	-7.49992585		0.00073358
168	101000111110	-7.49976973		0.00073358
169	100010111011	-7.49987511		0.00073358
170	111010001110	-7.49982542		0.00073358
171	110010101110	-7.49980963		0.00073358
172	101010001111	-7.49975524		0.00073357
173	101000111011	-7.49988282		0.00073357
174	100010111110	-7.49973941		0.00073357
175	111010001011	-7.49989452		0.00073357
176	110010111010	-7.49988855		0.00073357
177	111000101110	-7.49981013		0.00073357
178	111000101011	-7.49987934		0.00073357
179	101000101111	-7.49973459		0.00073357
180	011010100101	-7.50013421		0.00072255
181	101010010101	-7.50014331		0.00072255
182	011010010110	-7.50016673		0.00072255
183	011010011001	-7.50021186		0.00072254
184	101001010110	-7.50023604		0.00072254
185	101110010100	-7.50029286		0.00072254
186	100110100101	-7.50023973		0.00072254
187	111010010100	-7.50008230		0.00072254
188	001110100101	-7.50023279		0.00072254
189	011110100001	-7.50036502		0.00072254
190	011110100100	-7.50032098		0.00072254
191	101001100101	-7.50023973		0.00072254
192	101011010100	-7.50019304		0.00072254
193	101110010001	-7.50035884		0.00072254
194	111010010001	-7.50014985		0.00072254
195	001011010110	-7.50018208		0.00072254
196	101011010001	-7.50030423		0.00072254
197	011001100110	-7.50026046		0.00072254
198	001010010111	-7.50001205		0.00072254
199	011011010010	-7.50030602		0.00072254
200	100110010110	-7.50026575		0.00072254
201	001110010110	-7.50025231		0.00072254
202	011010010011	-7.50013560		0.00072254
203	010110100110	-7.50027526		0.00072254
204	001011100101	-7.50022198		0.00072254
205	011110010010	-7.50039022		0.00072254
206	011011100001	-7.50034024		0.00072254
207	011011100100	-7.50025098		0.00072254
208	101100100101	-7.50016397		0.00072254
209	101110000101	-7.50015721		0.00072254
210	111010000101	-7.49992066		0.00072254
211	101001011001	-7.50029208		0.00072254
212	101011000101	-7.50017622		0.00072254
213	011001011010	-7.50030468		0.00072254
214	010110101001	-7.50030903		0.00072254
215	011110011000	-7.50036859		0.00072254
216	101101010010	-7.50041678		0.00072254
217	101101100100	-7.50036192		0.00072254
218	011001101001	-7.50030553		0.00072254
219	111000100101	-7.49990543		0.00072254
220	100110011001	-7.50031049		0.00072254
221	011011011000	-7.50026178		0.00072254
222	011011000110	-7.50019427		0.00072254
223	100011010110	-7.50013056		0.00072254
224	001110011001	-7.50029665		0.00072254
225	110010100101	-7.49991624		0.00072254
226	101100010110	-7.50021969		0.00072254
227	011010000111	-7.49989016		0.00072254
228	011010011100	-7.50000021		0.00072253
229	001011011001	-7.50024903		0.00072253
230	101101100001	-7.50042778		0.00072253
231	011100100110	-7.50021429		0.00072253
232	011110000110	-7.50020485		0.00072253
233	010010100111	-7.49989784		0.00072253
234	101101011000	-7.50038424		0.00072253
235	100011100101	-7.50016396		0.00072253
236	001010011101	-7.49994421		0.00072253
237	111001100100	-7.50017335		0.00072253
238	100111010010	-7.50036928		0.00072253
239	001010110101	-7.49994796		0.00072253
240	010110011010	-7.50033789		0.00072253
241	111001010010	-7.50024277		0.00072253
242	111110010000	-7.50031377		0.00072253
243	011010110001	-7.50007719		0.00072253
244	011010110100	-7.49998770		0.00072253
245	011000100111	-7.49987224		0.00072253
246	100101100110	-7.50034849		0.00072253
247	110110100001	-7.50024777		0.00072253
248	010011100110	-7.50016989		0.00072253
249	001101100110	-7.50032405		0.00072253
250	110110100100	-7.50020295		0.00072253
251	101111010000	-7.50033900		0.00072253
252	011101100010	-7.50045649		0.00072253
253	100010010111	-7.49992555		0.00072253
254	011100101001	-7.50023676		0.00072253
255	111001100001	-7.50024078		0.00072253
256	011110001001	-7.50022726		0.00072253
257	000110100111	-7.50009636		0.00072253
258	101001010011	-7.50022673		0.00072253
259	111011010000	-7.50019997		0.00072253
260	111000010110	-7.49997415		0.00072253
261	011011001001	-7.50023929		0.00072253
262	100111100001	-7.50040999		0.00072253
263	010110100011	-7.50022141		0.00072253
264	101100011001	-7.50025312		0.00072253
265	100111100100	-7.50032152		0.00072253
266	110010010110	-7.49995525		0.00072253
267	001011010011	-7.50019459		0.00072253
268	001001100111	-7.50011115		0.00072253
269	111001011000	-7.50020944		0.00072253
270	011010001101	-7.49984426		0.00072253
271	011001100011	-7.50022922		0.00072253
272	111100100100	-7.50015677		0.00072253
273	100101011010	-7.50038582		0.00072253
274	101000010111	-7.49991486		0.00072253
275	001111010010	-7.50032007		0.00072253
276	001101011010	-7.50035450		0.00072253
277	100110010011	-7.50023383		0.00072253
278	111110000100	-7.50014465		0.00072253
279	000111100110	-7.50029845		0.00072253
280	011101101000	-7.50043491		0.00072253
281	001110010011	-7.50021960		0.00072253
282	101000110101	-7.49988697		0.00072253
283	100011011001	-7.50019790		0.00072253
284	010011011010	-7.50019571		0.00072253
285	101111000100	-7.50027106		0.00072253
286	100111011000	-7.50032543		0.00072253
287	101001011100	-7.50005861		0.00072253
288	010111100010	-7.50042389		0.00072253
289	110110010010	-7.50027947		0.00072253
290	111100100001	-7.50017899		0.00072253
291	111011000100	-7.50010447		0.00072253
292	100101101001	-7.50039317		0.00072253
293	001101101001	-7.50036834		0.00072253
294	011000101101	-7.49982628		0.00072253
295	011100011010	-7.50029532		0.00072253
296	111110000001	-7.50016676		0.00072253
297	010011101001	-7.50022627		0.00072253
298	010010101101	-7.49984058		0.00072253
299	100111000110	-7.50027130		0.00072253
300	001111100001	-7.50036728		0.00072253
301	000111011010	-7.50031048		0.00072253
302	101101000110	-7.50028200		0.00072253
303	001111100100	-7.50027959		0.00072253
304	011111100000	-7.50041223		0.00072253
305	011000110110	-7.49991307		0.00072253
306	101111000001	-7.50033681		0.00072253
307	111000011001	-7.50000837		0.00072253
308	101001110100	-7.50002080		0.00072253
309	111011000001	-7.50017179		0.00072253
310	110010011001	-7.50000077		0.00072253
311	001011000111	-7.50005033		0.00072253
312	110110011000	-7.50025744		0.00072253
313	100010110101	-7.49986795		0.00072253
314	111101100000	-7.50037735		0.00072253
315	010101101010	-7.50041789		0.00072253
316	001001011011	-7.50017163		0.00072253
317	001111011000	-7.50027661		0.00072253
318	101000011101	-7.49985793		0.00072253
319	011001101100	-7.50009400		0.00072253
320	010010011011	-7.49999050		0.00072253
321	100011010011	-7.50014386		0.00072253
322	001111000110	-7.50023588		0.00072253
323	100010011101	-7.49985732		0.00072253
324	001001011110	-7.50003684		0.00072253
325	011011000011	-7.50016291		0.00072253
326	000111101001	-7.50035404		0.00072253
327	101001110001	-7.50013211		0.00072253
328	000110101101	-7.50003988		0.00072253
329	001001110110	-7.50000716		0.00072253
330	100110011100	-7.50009962		0.00072253
331	000011100111	-7.50005018		0.00072253
332	001110000111	-7.50000173		0.00072253
333	011001110010	-7.50013659		0.00072253
334	001110011100	-7.50008657		0.00072253
335	011111000010	-7.50036283		0.00072253
336	001100100111	-7.50000579		0.00072253
337	111100010010	-7.50024040		0.00072253
338	110011010010	-7.50013031		0.00072253
339	010111101000	-7.50039101		0.00072253
340	011100100011	-7.50013783		0.00072253
341	011110000011	-7.50012828		0.00072253
342	010110101100	-7.50012010		0.00072253
343	000110011011	-7.50017524		0.00072253
344	001001101101	-7.50004337		0.00072253
345	001011011100	-7.49999374		0.00072253
346	010011100011	-7.50016126		0.00072253
347	100110000111	-7.50000217		0.00072253
348	111001000110	-7.50008043		0.00072253
349	010010110110	-7.49987926		0.00072253
350	111100011000	-7.50022968		0.00072253
351	011000011011	-7.49998331		0.00072253
352	101101001001	-7.50031532		0.00072253
353	100111001001	-7.50031593		0.00072253
354	101100110100	-7.50006387		0.00072253
355	010010011110	-7.49987675		0.00072253
356	011000011110	-7.49989216		0.00072253
357	100110110001	-7.50016892		0.00072253
358	110011100001	-7.50015803		0.00072253
359	100110110100	-7.50008022		0.00072253
360	101100010011	-7.50016517		0.00072253
361	011000111001	-7.49995826		0.00072253
362	110110000110	-7.50008032		0.00072253
363	110011100100	-7.50006798		0.00072253
364	101001000111	-7.50003188		0.00072253
365	100101100011	-7.50031646		0.00072253
366	011111001000	-7.50034131		0.00072253
367	100001100111	-7.50003565		0.00072253
368	101100011100	-7.50006487		0.00072253
369	001101100011	-7.50029124		0.00072253
370	000110011110	-7.50006306		0.00072253
371	101100110001	-7.50012997		0.00072253
372	001110110001	-7.50014820		0.00072253
373	100100100111	-7.49999525		0.00072253
374	110101100010	-7.50035673		0.00072253
375	001110110100	-7.50006028		0.00072253
376	011100101100	-7.50007044		0.00072253
377	011110001100	-7.50006106		0.00072253
378	000111100011	-7.50028824		0.00072253
379	110001100110	-7.50005997		0.00072253
380	000110110110	-7.50005178		0.00072252
