%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 8, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -5.501855371765724, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.40867362e-01 -2.89711098e-01 -1.14364397e-01 -2.40071125e-02
 -1.37288157e-01  2.10419124e-01 -1.39637025e-01  6.91344364e-04
  4.25962700e-02  1.74447793e-01  8.45051291e-01  1.19669866e+00
 -5.27609532e-02 -3.85078352e-02 -3.74326602e-02 -7.33643642e-02]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:33224.52s

Optimal: selection 101101100010, value -8.50071395+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
137	000011010110	-8.50025682		0.00143477
138	100001010011	-8.50031290		0.00143477
139	100101000011	-8.50042915		0.00143477
140	001111000100	-8.50041123		0.00143477
141	110100010010	-8.50038385		0.00143477
142	000101101100	-8.50032146		0.00143477
143	100100100101	-8.50033067		0.00143477
144	100011010100	-8.50025717		0.00143477
145	011000011001	-8.50029198		0.00143477
146	100110000101	-8.50033958		0.00143476
147	000111000011	-8.50040584		0.00143476
148	010001100011	-8.50032606		0.00143476
149	000001011011	-8.50025318		0.00143476
150	110001010010	-8.50030617		0.00143476
151	000101001011	-8.50036753		0.00143476
152	100011000101	-8.50028296		0.00143476
153	010011000110	-8.50029228		0.00143476
154	000011010011	-8.50027967		0.00143476
155	010010010110	-8.50022251		0.00143476
156	110001100001	-8.50032719		0.00143476
157	001100100101	-8.50032855		0.00143476
158	100010010101	-8.50020639		0.00143476
159	011000010110	-8.50024566		0.00143476
160	110001011000	-8.50026048		0.00143475
161	010110110000	-8.50032155		0.00143475
162	100100010011	-8.50031566		0.00143475
163	100101110000	-8.50031678		0.00143475
164	000101110010	-8.50030294		0.00143475
165	001110000101	-8.50032355		0.00143475
166	100101001100	-8.50029213		0.00143475
167	101000010101	-8.50021082		0.00143475
168	010010100101	-8.50020489		0.00143474
169	001101000011	-8.50039000		0.00143474
170	110100100100	-8.50029453		0.00143474
171	111001000001	-8.50034243		0.00143474
172	000110110001	-8.50027810		0.00143474
173	011001000011	-8.50032598		0.00143474
174	110001100100	-8.50023483		0.00143474
175	000110011100	-8.50021312		0.00143474
176	110100100001	-8.50032966		0.00143474
177	000001100111	-8.50019666		0.00143474
178	111001000100	-8.50027883		0.00143474
179	000100011011	-8.50024710		0.00143474
180	110110000100	-8.50029665		0.00143474
181	010100110010	-8.50027719		0.00143473
182	001100010011	-8.50030433		0.00143473
183	000101111000	-8.50024436		0.00143473
184	110011010000	-8.50024593		0.00143473
185	001001110001	-8.50023228		0.00143473
186	010100111000	-8.50024623		0.00143473
